token: - | freq: 2360 | docs: 199 | posting_pos: 0
token: -- | freq: 899 | docs: 81 | posting_pos: 199
token: --- | freq: 12 | docs: 6 | posting_pos: 280
token: ---- | freq: 3 | docs: 2 | posting_pos: 286
token: ----- | freq: 49 | docs: 6 | posting_pos: 288
token: ------ | freq: 3 | docs: 1 | posting_pos: 294
token: ------- | freq: 1 | docs: 1 | posting_pos: 295
token: -------- | freq: 23 | docs: 6 | posting_pos: 296
token: --------- | freq: 1 | docs: 1 | posting_pos: 302
token: ---------- | freq: 1 | docs: 1 | posting_pos: 303
token: ------------ | freq: 27 | docs: 6 | posting_pos: 304
token: ------------------------------ | freq: 17 | docs: 5 | posting_pos: 310
token: ------------------------------------ | freq: 12 | docs: 6 | posting_pos: 315
token: -------------------------------------- | freq: 40 | docs: 1 | posting_pos: 321
token: ----------------------------------------------- | freq: 1 | docs: 1 | posting_pos: 322
token: -------------------------------------------------- | freq: 1 | docs: 1 | posting_pos: 323
token: ---------------------------------------------------------------------- | freq: 5 | docs: 5 | posting_pos: 324
token: ---------------------az | freq: 1 | docs: 1 | posting_pos: 329
token: ---------------------ennyi | freq: 1 | docs: 1 | posting_pos: 330
token: ---------------------magyarorszag | freq: 1 | docs: 1 | posting_pos: 331
token: -----------------a | freq: 1 | docs: 1 | posting_pos: 332
token: -----------megjegyezzuk | freq: 1 | docs: 1 | posting_pos: 333
token: -----------visszaterve | freq: 1 | docs: 1 | posting_pos: 334
token: ---------felhivjuk | freq: 1 | docs: 1 | posting_pos: 335
token: ---hazai | freq: 1 | docs: 1 | posting_pos: 336
token: --a | freq: 4 | docs: 3 | posting_pos: 337
token: --amikor | freq: 1 | docs: 1 | posting_pos: 340
token: --asszimetria | freq: 1 | docs: 1 | posting_pos: 341
token: --bar | freq: 1 | docs: 1 | posting_pos: 342
token: --chrystyna | freq: 1 | docs: 1 | posting_pos: 343
token: --dan | freq: 1 | docs: 1 | posting_pos: 344
token: --doug | freq: 1 | docs: 1 | posting_pos: 345
token: --ha | freq: 1 | docs: 1 | posting_pos: 346
token: --increased | freq: 1 | docs: 1 | posting_pos: 347
token: --korabban | freq: 1 | docs: 1 | posting_pos: 348
token: --kozolte | freq: 1 | docs: 1 | posting_pos: 349
token: --megbekelesrol | freq: 1 | docs: 1 | posting_pos: 350
token: --meglepoen | freq: 1 | docs: 1 | posting_pos: 351
token: --mint | freq: 1 | docs: 1 | posting_pos: 352
token: --moscow | freq: 1 | docs: 1 | posting_pos: 353
token: --pannonhalmahoz | freq: 1 | docs: 1 | posting_pos: 354
token: --patrick | freq: 2 | docs: 2 | posting_pos: 355
token: --peter | freq: 1 | docs: 1 | posting_pos: 357
token: --possibly | freq: 1 | docs: 1 | posting_pos: 358
token: --saulius | freq: 1 | docs: 1 | posting_pos: 359
token: --sem | freq: 1 | docs: 1 | posting_pos: 360
token: --sertodottsegbol | freq: 1 | docs: 1 | posting_pos: 361
token: --shares | freq: 1 | docs: 1 | posting_pos: 362
token: --stefan | freq: 1 | docs: 1 | posting_pos: 363
token: --subject | freq: 1 | docs: 1 | posting_pos: 364
token: --that | freq: 2 | docs: 2 | posting_pos: 365
token: --the | freq: 1 | docs: 1 | posting_pos: 367
token: --wei | freq: 1 | docs: 1 | posting_pos: 368
token: --what | freq: 1 | docs: 1 | posting_pos: 369
token: --which | freq: 1 | docs: 1 | posting_pos: 370
token: --who | freq: 1 | docs: 1 | posting_pos: 371
token: --with | freq: 1 | docs: 1 | posting_pos: 372
token: --zsofia | freq: 1 | docs: 1 | posting_pos: 373
token: -0 | freq: 9 | docs: 1 | posting_pos: 374
token: -0400to | freq: 2 | docs: 2 | posting_pos: 375
token: -0500 | freq: 11 | docs: 7 | posting_pos: 377
token: -0800 | freq: 2 | docs: 2 | posting_pos: 384
token: -1 | freq: 19 | docs: 1 | posting_pos: 386
token: -10 | freq: 9 | docs: 2 | posting_pos: 387
token: -1073 | freq: 1 | docs: 1 | posting_pos: 389
token: -11 | freq: 3 | docs: 1 | posting_pos: 390
token: -117 | freq: 4 | docs: 2 | posting_pos: 391
token: -12 | freq: 6 | docs: 1 | posting_pos: 393
token: -13 | freq: 8 | docs: 1 | posting_pos: 394
token: -14 | freq: 5 | docs: 1 | posting_pos: 395
token: -15 | freq: 5 | docs: 2 | posting_pos: 396
token: -1541 | freq: 1 | docs: 1 | posting_pos: 398
token: -1596 | freq: 1 | docs: 1 | posting_pos: 399
token: -16 | freq: 7 | docs: 1 | posting_pos: 400
token: -17 | freq: 7 | docs: 1 | posting_pos: 401
token: -1735 | freq: 1 | docs: 1 | posting_pos: 402
token: -1781 | freq: 1 | docs: 1 | posting_pos: 403
token: -18 | freq: 3 | docs: 1 | posting_pos: 404
token: -18-22 | freq: 1 | docs: 1 | posting_pos: 405
token: -19 | freq: 2 | docs: 1 | posting_pos: 406
token: -1903 | freq: 1 | docs: 1 | posting_pos: 407
token: -1995-ben | freq: 1 | docs: 1 | posting_pos: 408
token: -2 | freq: 8 | docs: 2 | posting_pos: 409
token: -20 | freq: 2 | docs: 1 | posting_pos: 411
token: -21 | freq: 3 | docs: 1 | posting_pos: 412
token: -22 | freq: 1 | docs: 1 | posting_pos: 413
token: -23 | freq: 2 | docs: 1 | posting_pos: 414
token: -2364 | freq: 1 | docs: 1 | posting_pos: 415
token: -23deg | freq: 1 | docs: 1 | posting_pos: 416
token: -25 | freq: 1 | docs: 1 | posting_pos: 417
token: -26 | freq: 2 | docs: 1 | posting_pos: 418
token: -27 | freq: 1 | docs: 1 | posting_pos: 419
token: -28 | freq: 1 | docs: 1 | posting_pos: 420
token: -29 | freq: 1 | docs: 1 | posting_pos: 421
token: -2m | freq: 1 | docs: 1 | posting_pos: 422
token: -3 | freq: 17 | docs: 1 | posting_pos: 423
token: -30 | freq: 4 | docs: 1 | posting_pos: 424
token: -31 | freq: 2 | docs: 1 | posting_pos: 425
token: -32 | freq: 1 | docs: 1 | posting_pos: 426
token: -33 | freq: 1 | docs: 1 | posting_pos: 427
token: -33-1-43368392 | freq: 1 | docs: 1 | posting_pos: 428
token: -34 | freq: 1 | docs: 1 | posting_pos: 429
token: -35 | freq: 1 | docs: 1 | posting_pos: 430
token: -36 | freq: 1 | docs: 1 | posting_pos: 431
token: -37 | freq: 3 | docs: 1 | posting_pos: 432
token: -39 | freq: 1 | docs: 1 | posting_pos: 433
token: -4 | freq: 11 | docs: 2 | posting_pos: 434
token: -41 | freq: 1 | docs: 1 | posting_pos: 436
token: -4116 | freq: 1 | docs: 1 | posting_pos: 437
token: -44 | freq: 1 | docs: 1 | posting_pos: 438
token: -46 | freq: 1 | docs: 1 | posting_pos: 439
token: -5 | freq: 8 | docs: 1 | posting_pos: 440
token: -50 | freq: 1 | docs: 1 | posting_pos: 441
token: -53 | freq: 2 | docs: 1 | posting_pos: 442
token: -58-aserteket | freq: 1 | docs: 1 | posting_pos: 443
token: -6 | freq: 7 | docs: 1 | posting_pos: 444
token: -60 | freq: 1 | docs: 1 | posting_pos: 445
token: -63 | freq: 1 | docs: 1 | posting_pos: 446
token: -6th | freq: 1 | docs: 1 | posting_pos: 447
token: -7 | freq: 7 | docs: 1 | posting_pos: 448
token: -70 | freq: 1 | docs: 1 | posting_pos: 449
token: -724 | freq: 1 | docs: 1 | posting_pos: 450
token: -8 | freq: 6 | docs: 1 | posting_pos: 451
token: -9 | freq: 7 | docs: 1 | posting_pos: 452
token: -a | freq: 29 | docs: 14 | posting_pos: 453
token: -aban | freq: 2 | docs: 1 | posting_pos: 467
token: -abol | freq: 1 | docs: 1 | posting_pos: 468
token: -addig | freq: 1 | docs: 1 | posting_pos: 469
token: -agondol | freq: 1 | docs: 1 | posting_pos: 470
token: -agriculture | freq: 1 | docs: 1 | posting_pos: 471
token: -aimr- | freq: 1 | docs: 1 | posting_pos: 472
token: -ajaj | freq: 1 | docs: 1 | posting_pos: 473
token: -aki | freq: 1 | docs: 1 | posting_pos: 474
token: -akik | freq: 1 | docs: 1 | posting_pos: 475
token: -akkor | freq: 2 | docs: 1 | posting_pos: 476
token: -al | freq: 12 | docs: 9 | posting_pos: 477
token: -alapitvanyokon | freq: 1 | docs: 1 | posting_pos: 486
token: -allapitotta | freq: 1 | docs: 1 | posting_pos: 487
token: -allitotta | freq: 2 | docs: 2 | posting_pos: 488
token: -altalad | freq: 1 | docs: 1 | posting_pos: 490
token: -amelyet | freq: 1 | docs: 1 | posting_pos: 491
token: -american | freq: 1 | docs: 1 | posting_pos: 492
token: -ami | freq: 1 | docs: 1 | posting_pos: 493
token: -amikor | freq: 1 | docs: 1 | posting_pos: 494
token: -amit | freq: 2 | docs: 2 | posting_pos: 495
token: -anak | freq: 2 | docs: 2 | posting_pos: 497
token: -animal | freq: 2 | docs: 1 | posting_pos: 499
token: -animals | freq: 1 | docs: 1 | posting_pos: 500
token: -aszeretne | freq: 1 | docs: 1 | posting_pos: 501
token: -at | freq: 8 | docs: 5 | posting_pos: 502
token: -atirasok | freq: 1 | docs: 1 | posting_pos: 507
token: -attette | freq: 1 | docs: 1 | posting_pos: 508
token: -avagy | freq: 1 | docs: 1 | posting_pos: 509
token: -az | freq: 9 | docs: 6 | posting_pos: 510
token: -azert | freq: 2 | docs: 1 | posting_pos: 516
token: -azon | freq: 1 | docs: 1 | posting_pos: 517
token: -azonos | freq: 1 | docs: 1 | posting_pos: 518
token: -azt | freq: 1 | docs: 1 | posting_pos: 519
token: -ba | freq: 3 | docs: 3 | posting_pos: 520
token: -ban | freq: 3 | docs: 3 | posting_pos: 523
token: -ban-valutanem | freq: 1 | docs: 1 | posting_pos: 526
token: -baratok | freq: 1 | docs: 1 | posting_pos: 527
token: -barhol | freq: 1 | docs: 1 | posting_pos: 528
token: -barmily | freq: 1 | docs: 1 | posting_pos: 529
token: -based | freq: 5 | docs: 3 | posting_pos: 530
token: -be | freq: 1 | docs: 1 | posting_pos: 533
