token: -- | freq: 899 | docs: 81 | posting_pos: 0
token: --- | freq: 12 | docs: 6 | posting_pos: 81
token: ---- | freq: 3 | docs: 2 | posting_pos: 87
token: ----- | freq: 49 | docs: 6 | posting_pos: 89
token: ------ | freq: 3 | docs: 1 | posting_pos: 95
token: -------- | freq: 23 | docs: 6 | posting_pos: 96
token: ------------ | freq: 27 | docs: 6 | posting_pos: 102
token: ------------------------------ | freq: 17 | docs: 5 | posting_pos: 108
token: ------------------------------------ | freq: 12 | docs: 6 | posting_pos: 113
token: -------------------------------------- | freq: 40 | docs: 1 | posting_pos: 119
token: ---------------------------------------------------------------------- | freq: 5 | docs: 5 | posting_pos: 120
token: --a | freq: 4 | docs: 3 | posting_pos: 125
token: -0 | freq: 9 | docs: 1 | posting_pos: 128
token: -0500 | freq: 11 | docs: 7 | posting_pos: 129
token: -1 | freq: 19 | docs: 1 | posting_pos: 136
token: -10 | freq: 9 | docs: 2 | posting_pos: 137
token: -11 | freq: 3 | docs: 1 | posting_pos: 139
token: -117 | freq: 4 | docs: 2 | posting_pos: 140
token: -12 | freq: 6 | docs: 1 | posting_pos: 142
token: -13 | freq: 8 | docs: 1 | posting_pos: 143
token: -14 | freq: 5 | docs: 1 | posting_pos: 144
token: -15 | freq: 5 | docs: 2 | posting_pos: 145
token: -16 | freq: 7 | docs: 1 | posting_pos: 147
token: -17 | freq: 7 | docs: 1 | posting_pos: 148
token: -18 | freq: 3 | docs: 1 | posting_pos: 149
token: -2 | freq: 8 | docs: 2 | posting_pos: 150
token: -21 | freq: 3 | docs: 1 | posting_pos: 152
token: -3 | freq: 17 | docs: 1 | posting_pos: 153
token: -30 | freq: 4 | docs: 1 | posting_pos: 154
token: -37 | freq: 3 | docs: 1 | posting_pos: 155
token: -4 | freq: 11 | docs: 2 | posting_pos: 156
token: -5 | freq: 8 | docs: 1 | posting_pos: 158
token: -6 | freq: 7 | docs: 1 | posting_pos: 159
token: -7 | freq: 7 | docs: 1 | posting_pos: 160
token: -8 | freq: 6 | docs: 1 | posting_pos: 161
token: -9 | freq: 7 | docs: 1 | posting_pos: 162
token: -a | freq: 29 | docs: 14 | posting_pos: 163
token: -al | freq: 12 | docs: 9 | posting_pos: 177
token: -at | freq: 8 | docs: 5 | posting_pos: 186
token: -az | freq: 9 | docs: 6 | posting_pos: 191
token: -ba | freq: 3 | docs: 3 | posting_pos: 197
token: -ban | freq: 3 | docs: 3 | posting_pos: 200
token: -based | freq: 5 | docs: 3 | posting_pos: 203
token: -ben | freq: 4 | docs: 4 | posting_pos: 206
token: -bol | freq: 3 | docs: 2 | posting_pos: 210
token: -csak | freq: 3 | docs: 3 | posting_pos: 212
token: -en | freq: 3 | docs: 2 | posting_pos: 215
token: -ez | freq: 6 | docs: 2 | posting_pos: 217
token: -ezt | freq: 3 | docs: 2 | posting_pos: 219
token: -gal | freq: 3 | docs: 2 | posting_pos: 221
token: -ha | freq: 4 | docs: 2 | posting_pos: 223
token: -how | freq: 3 | docs: 3 | posting_pos: 225
token: -i | freq: 5 | docs: 5 | posting_pos: 228
token: -igen | freq: 5 | docs: 1 | posting_pos: 233
token: -im | freq: 9 | docs: 1 | posting_pos: 234
token: -jelentette | freq: 3 | docs: 3 | posting_pos: 235
token: -k | freq: 3 | docs: 2 | posting_pos: 238
token: -kal | freq: 5 | docs: 3 | posting_pos: 240
token: -kent | freq: 3 | docs: 2 | posting_pos: 243
token: -l | freq: 4 | docs: 2 | posting_pos: 245
token: -m | freq: 11 | docs: 2 | posting_pos: 247
token: -meg | freq: 4 | docs: 3 | posting_pos: 249
token: -mi | freq: 3 | docs: 2 | posting_pos: 252
token: -nak | freq: 15 | docs: 13 | posting_pos: 254
token: -nal | freq: 3 | docs: 2 | posting_pos: 267
token: -nek | freq: 8 | docs: 8 | posting_pos: 269
token: -nem | freq: 8 | docs: 4 | posting_pos: 277
token: -nyilatkozta | freq: 3 | docs: 3 | posting_pos: 281
token: -on | freq: 13 | docs: 9 | posting_pos: 284
token: -os | freq: 23 | docs: 12 | posting_pos: 293
token: -ot | freq: 12 | docs: 10 | posting_pos: 305
token: -p | freq: 8 | docs: 1 | posting_pos: 315
token: -ra | freq: 7 | docs: 7 | posting_pos: 316
token: -re | freq: 4 | docs: 3 | posting_pos: 323
token: -rol | freq: 4 | docs: 4 | posting_pos: 326
token: -t | freq: 13 | docs: 11 | posting_pos: 330
token: -the | freq: 3 | docs: 3 | posting_pos: 341
token: -vel | freq: 3 | docs: 3 | posting_pos: 344
token: 00 | freq: 62766 | docs: 99 | posting_pos: 347
token: 000 | freq: 237 | docs: 100 | posting_pos: 446
token: 0000 | freq: 3 | docs: 1 | posting_pos: 546
token: 000000 | freq: 50 | docs: 50 | posting_pos: 547
token: 000080 | freq: 49 | docs: 49 | posting_pos: 597
token: 0000ff | freq: 50 | docs: 50 | posting_pos: 646
token: 0095 | freq: 3 | docs: 3 | posting_pos: 696
token: 01 | freq: 14919 | docs: 23 | posting_pos: 699
token: 01223 | freq: 4 | docs: 2 | posting_pos: 722
token: 01am | freq: 4 | docs: 1 | posting_pos: 724
token: 01bbc575 | freq: 3 | docs: 1 | posting_pos: 725
token: 01t08 | freq: 5 | docs: 5 | posting_pos: 726
token: 02 | freq: 4109 | docs: 18 | posting_pos: 731
token: 0244 | freq: 3 | docs: 1 | posting_pos: 749
token: 03 | freq: 1875 | docs: 36 | posting_pos: 750
token: 04 | freq: 1017 | docs: 39 | posting_pos: 786
token: 04t08 | freq: 5 | docs: 5 | posting_pos: 825
token: 05 | freq: 1088 | docs: 47 | posting_pos: 830
token: 0500 | freq: 6 | docs: 2 | posting_pos: 877
token: 06 | freq: 460 | docs: 32 | posting_pos: 879
token: 06-20-423-364 | freq: 4 | docs: 3 | posting_pos: 911
token: 07 | freq: 330 | docs: 33 | posting_pos: 914
token: 08 | freq: 242 | docs: 26 | posting_pos: 947
token: 0800 | freq: 6 | docs: 6 | posting_pos: 973
token: 09 | freq: 216 | docs: 27 | posting_pos: 979
token: 0fn | freq: 1435 | docs: 99 | posting_pos: 1006
token: 0s | freq: 1766 | docs: 100 | posting_pos: 1105
token: 0yr | freq: 8 | docs: 7 | posting_pos: 1205
